FORMULA,Co,Cr,Fe,Ni,Mn,Nb,Ti,Al,C,Mo,Si,Cu,V,Sn,Li,Mg,Zn,Ta,Zr,Hf,W,Re,Ca,Y,Pd,Sc,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Calculated Young modulus (GPa)
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,25,274,708,39,226
Co1 Cr1 Mn1 Ni1,26.24376559,23.15461347,,26.13688992,24.46473103,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.1,T,25,282,694,44,222
Co1 Cr1 Ni1,34.74372428,30.65404252,,34.6022332,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.3,T,25,300,860,60,231
Co1 Fe1 Mn1 Ni1,25.80152271,,24.44956197,25.69644804,24.05246728,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,25,170,550,41,204
Co1 Fe1 Ni1,33.97282543,,32.1927008,33.83447377,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.5,T,25,211,513,31,207
Co1 Mn1 Ni1,34.15138731,,,34.01230848,31.83630421,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.4,T,25,231,653,38,202
Fe1 Mn1 Ni1,,,32.95156836,34.6320423,32.41638934,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.1,T,25,221,602,36,203
Co1 Cr1 Fe1 Nb0.103 Ni1,25.07399729,22.12253853,23.76015778,24.97188541,,4.071420996,,,,,,,,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.2,T,25,318,622,19,
Co1 Cr1 Fe1 Nb0.155 Ni1,24.56898796,21.67697382,23.28161018,24.46893269,,6.003495347,,,,,,,,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.2,T,25,322,744,23,
Co1 Cr1 Fe1 Nb0.206 Ni1,24.0930671,21.25707357,22.83062685,23.99494998,,7.824282512,,,,,,,,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.2,T,25,403,807,9,
Co1 Cr1 Fe1 Nb0.309 Ni1,23.1859981,20.45677561,21.97108689,23.09157495,,11.29456445,,,,,,,,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.2,T,25,479,879,4,
Co1 Cr1 Fe1 Nb0.412 Ni1,22.34475068,19.71455137,21.17391956,22.25375344,,14.51302495,,,,,,,,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.2,T,25,638,1004,1,
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,8.2,T,25,148,413,48,226
Co1 Cr1 Fe1 Ni1 Ti1,21.56080107,19.02288043,20.43104773,21.47299641,,,17.51227436,,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,7.2,C,25,,2020,,195
Al0.7 Co0.3 Cr1 Fe1 Ni1,8.704966438,25.60101782,27.49613124,28.89838716,,,,9.299497344,,,,,,,,,,,,,,,,,,,FCC+BCC+B2,POWDER,other,6.8,C,25,2033,2635,8,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC,CAST,BCC,6.7,C,25,1251,2004,,184
Al1 C0.1 Co1 Cr1 Fe1 Ni1,23.23397468,20.49910487,22.01654957,23.13935614,,,,10.63748841,0.473526326,,,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,6.7,C,25,957,2550,,
Al1 C0.2 Co1 Cr1 Fe1 Ni1,23.1244742,20.40249369,21.91278676,23.0303016,,,,10.5873545,0.942589244,,,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,6.6,C,25,906,2386,,
Al1 C0.3 Co1 Cr1 Fe1 Ni1,23.01600103,20.30678889,21.80999741,22.92227018,,,,10.53769093,1.407251565,,,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,6.5,C,25,867,2178,,
Al1 C0.4 Co1 Cr1 Fe1 Ni1,22.90854076,20.21197776,21.7081679,22.81524753,,,,10.48849111,1.867574928,,,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,6.5,C,25,1056,2375,,
Al1 C0.5 Co1 Cr1 Fe1 Ni1,22.80207928,20.11804786,21.60728484,22.70921961,,,,10.43974858,2.323619825,,,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,6.4,C,25,1060,2250,,
Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,21.79019577,19.22527309,20.64842249,21.70145691,,,,9.976465855,6.658185883,,,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,5.9,C,25,1255,2083,,
Al1 C1 Co1 Cr1 Fe1 Ni1,22.2842774,19.6611964,21.11661499,22.19352643,,,,10.20267715,4.541707631,,,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,6.2,C,25,1251,2166,,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC,CAST,BCC,6.7,C,25,1138,,,184
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,22.48973455,19.8424692,21.3113065,22.39814688,,,,10.29674406,,3.661598815,,,,,,,,,,,,,,,,,BCC,CAST,BCC,6.8,C,25,1804,2280,,188
Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,21.6953383,19.14158129,20.55853541,21.60698574,,,,9.933036125,,7.064523135,,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,6.9,C,25,2456,2953,,
Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,20.95514767,18.48851846,19.85712965,20.86980948,,,,9.5941458,,10.23524894,,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,7,C,25,2649,3208,,
Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,20.26379763,17.87854719,19.2020053,20.18127491,,,,9.277616744,,13.19675823,,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,7,C,25,2670,3161,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,19.61660853,17.30753868,18.58872793,19.53672143,,,,8.98130642,,15.96909701,,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,7.1,C,25,2757,3036,,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC,CAST,BCC,6.7,C,25,1051,,,184
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,22.51588984,19.86554576,21.33609129,22.42419565,,3.549558416,,10.30871905,,,,,,,,,,,,,,,,,,,BCC,CAST,BCC,6.8,C,25,1641,3285,,182
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,21.37767049,18.86130614,20.25751291,21.29061161,,8.425304389,,9.787594472,,,,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,6.8,C,25,1959,3008,,
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,19.71649571,17.39566815,18.68338118,19.63620183,,15.54121418,,9.027038963,,,,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,7,C,25,2473,3170,,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC,CAST,BCC,6.7,C,25,1373,3531,,184
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,BCC,CAST,BCC,6.7,C,25,1110,,,184
Al1 Co1 Cr1 Fe1 Ni1 Si1,21.00743582,18.53465177,19.90667798,20.92188469,,,,9.618085508,,,10.01126423,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,5.7,C,25,2411,2950,,
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,22.83640619,20.14833415,21.63981307,22.74340673,,,,10.45546488,,,2.176574985,,,,,,,,,,,,,,,,BCC,CAST,BCC,6.5,C,25,1265,2173,,176
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,22.34994292,19.71913244,21.17883974,22.25892454,,,,10.23274159,,,4.26041876,,,,,,,,,,,,,,,,BCC,CAST,BCC,6.2,C,25,1481,2444,,169
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,21.88377274,19.30783513,20.73709618,21.7946528,,,,10.01930932,,,6.257333828,,,,,,,,,,,,,,,,BCC,CAST,BCC,6,C,25,1834,2195,,162
Al1 Co1 Cr1 Fe1 Ni1 Si0.8,21.43665179,18.91334475,20.31340368,21.34935271,,,,9.814598588,,,8.172648472,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,5.8,C,25,2179,2664,,
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,19.39826633,17.11489752,18.38182653,19.31926841,,,7.877902145,2.22033505,,,,15.68750401,,,,,,,,,,,,,,,FCC,CAST,FCC,7.5,C,25,750,1970,,189
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,20.00003394,17.64583111,18.95206243,19.91858537,,,8.122288229,4.57842733,,,,10.78277159,,,,,,,,,,,,,,,FCC+BCC,CAST,other,7.1,C,25,1580,2389,,
Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,20.64033258,18.21076024,19.5588104,20.55627645,,,8.382322296,7.087507683,,,,5.563990355,,,,,,,,,,,,,,,FCC+BCC,CAST,other,6.8,C,25,1900,2697,,
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,18.83165333,16.61498052,17.8449032,18.75496291,,,7.647792834,,,,,20.30570721,,,,,,,,,,,,,,,FCC,CAST,FCC,7.8,C,25,700,1650,,194
Al1 Co1 Cr1 Fe1 Ni1 Ti1,19.62366307,17.31376284,18.59541283,19.54374725,,,15.93887772,8.984536288,,,,,,,,,,,,,,,,,,,BCC+BCC,CAST,other,6.2,C,25,1860,2580,10.7,
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,21.32298536,18.81305799,20.2056932,21.23614918,,,8.659556955,9.762557325,,,,,,,,,,,,,,,,,,,BCC+BCC,CAST,other,6.4,C,25,2260,3140,24.4,
Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,18.17721304,16.03757435,17.22475459,18.10318777,,,22.13497946,8.322290776,,,,,,,,,,,,,,,,,,,BCC+Sec.,CAST,other,6.1,C,25,2220,2720,6.6,
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,20.62026288,18.19305294,19.53979232,20.53628849,19.22243908,,,1.888164299,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,7.7,T,25,220,,56,212
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,20.27570807,17.88905565,19.21329166,20.19313685,18.90124124,,,3.527566541,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,7.5,T,25,244,,45,205
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,8,T,25,208,,62,220
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,8,C,25,230,,,220
Co1 Cr1 Fe1 Mn1 Ni1 V0.5,19.26695785,16.99904536,18.25739842,19.18849468,17.96087303,,,,,,,,8.327230642,,,,,,,,,,,,,,FCC,ANNEAL,FCC,7.8,C,25,620,,,210
Al1 Cr1 Fe1 Ni1,,26.8690961,28.85807892,30.32979185,,,,13.94303313,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.3,C,25,1406,2927,,
Al1 Cr1 Fe1 Mo0.2 Ni1,,24.4450086,26.25454853,27.59348584,,,,12.68511467,,9.021842355,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.5,C,25,1487,3222,,
Al1 Cr1 Fe1 Mo0.5 Ni1,,21.53123719,23.12508541,24.30442542,,,,11.1730872,,19.86616478,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.8,C,25,1749,2644,,
Al1 Cr1 Fe1 Mo0.8 Ni1,,19.23811215,20.66221196,21.71594962,,,,9.983128358,,28.40059791,,,,,,,,,,,,,,,,,B2+Sec.,CAST,other,7,C,25,1513,1513,,
Co1 Cr1 Cu1 Fe1 Ni1 Ti1,17.49376633,15.43457611,16.57711945,17.42252434,,,14.20891712,,,,,18.86309665,,,,,,,,,,,,,,,FCC,CAST,FCC,7.4,C,25,1272,1272,2,185
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,18.83165333,16.61498052,17.8449032,18.75496291,,,7.647792834,,,,,20.30570721,,,,,,,,,,,,,,,FCC,CAST,FCC,7.8,C,25,700,1650,22,194
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,18.00544199,15.88602246,17.06198408,17.93211625,,,11.69961131,,,,,19.4148239,,,,,,,,,,,,,,,FCC+Sec.,CAST,other,7.6,C,25,1042,1848,3,
Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ni1,15.88777488,14.01762582,15.05527952,15.82307317,14.81076097,,,7.27408993,,,,17.1313957,,,,,,,,,,,,,,,FCC+BCC+Sec.,CAST,other,7.1,C,25,1005,,15,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,18.64997864,16.45469074,17.67274799,18.57402807,,,,8.538742702,,,,20.10981186,,,,,,,,,,,,,,,FCC+BCC,CAST,other,7.1,C,25,1303,,24,
Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,16.19652506,14.29003303,15.34785166,16.13056598,,,13.15526216,7.415448714,,,,17.46431339,,,,,,,,,,,,,,,FCC+BCC+BCC,CAST,other,6.6,C,25,1234,,9,
Al1 Co1 Cr1 Cu1 Fe1 Ni1 V1,16.06079518,14.17027991,15.21923382,15.99538885,,,,7.353305881,,,,17.31795921,13.88303714,,,,,,,,,,,,,,FCC+BCC,CAST,other,6.9,C,25,1469,,16,
Al1 Co1 Cr1 Cu1 Ni1 Ti1,19.13303486,16.88088644,,19.05511709,,,15.54037602,8.759906109,,,,20.63067948,,,,,,,,,,,,,,,BCC,,BCC,6.4,C,25,,1495,,157
Co1 Cu1 Fe1 Ni1,24.8644612,,23.56160107,24.76320264,,,,,,,,26.81073509,,,,,,,,,,,,,,,FCC,CAST,FCC,8.6,T,25,,480,,187
Co1 Cu1 Fe1 Ni1 Sn0.02,24.8644612,,23.56160107,24.76320264,,,,,,,,26.81073509,,0,,,,,,,,,,,,,FCC,CAST,FCC,8.6,T,25,,548,,185
Co1 Cu1 Fe1 Mn1 Ni1,20.18564505,,19.1279478,20.1034406,18.81728349,,,,,,,21.76568307,,,,,,,,,,,,,,,FCC,CAST,FCC,8.4,T,25,,478,,189
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.03,20.18564505,,19.1279478,20.1034406,18.81728349,,,,,,,21.76568307,,0,,,,,,,,,,,,,FCC,CAST,FCC,8.4,T,25,,465,,187
Co1 Cr1 Cu1 Fe1 Ni1,20.39112427,17.99088622,19.32266023,20.30808303,,,,,,,,21.98724625,,,,,,,,,,,,,,,FCC,,FCC,8.3,C,25,230,888,51,206
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,,,16.87228244,23.63479158,,,21.68202881,12.22187522,,,,25.58902196,,,,,,,,,,,,,,,FCC,CAST,FCC,5.9,C,25,980,1326,,131
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,,,16.87228244,23.63479158,,,21.68202881,12.22187522,,,,25.58902196,,,,,,,,,,,,,,,FCC,CAST,FCC,5.9,C,25,980,1326,,131
Al1 Cu1 Fe1 Ni1 Ti1,,,22.07896953,23.20495942,,,18.92477455,10.66764716,,,,25.12364935,,,,,,,,,,,,,,,FCC,CAST,FCC,6.1,C,25,1074,1617,,137
Al1 Cu1 Ni1 Ti1,,,,29.78009823,,,24.28712047,13.69033122,,,,32.24245007,,,,,,,,,,,,,,,FCC,CAST,FCC,5.7,C,25,300,536,,122
Al1 Cu0.062 Li0.062 Mg0.062 Zn0.062,,,,,,,,76.20808541,,,,11.12773618,,,1.215284819,0,11.44889358,,,,,,,,,,FCC+Sec.,CAST,other,2.9,C,25,488,879,17,
Al1 Li0.062 Mg0.062 Sn0.062 Zn0.062,,,,,,,,85.75013411,,,,,,0,1.367451179,0,12.88241471,,,,,,,,,,FCC+Sec.,CAST,other,3,C,25,415,836,16,
Al1 Li0.5 Mg1 Sn0.2 Zn0.5,,,,,,,,42.73225428,,,,,,0,5.495549713,0,51.772196,,,,,,,,,,FCC+Sec.,CAST,other,2.9,C,25,546,546,,
Al1 Li1 Mg1 Sn1 Zn1,,,,,,,,27.17165817,,,,,,0,6.988781696,0,65.83956013,,,,,,,,,,FCC+HCP+Sec.,CAST,other,3.9,C,25,600,615,1,
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,,,,,,21.03671217,15.18001149,1.831149498,,,,,2.310191172,,,,,32.76617801,26.87575765,,,,,,,,BCC,OTHER,BCC,7.7,C,25,1965,2061,5,107
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,,,,,,21.03671217,15.18001149,1.831149498,,,,,2.310191172,,,,,32.76617801,26.87575765,,,,,,,,BCC,OTHER,BCC,7.7,C,800,678,693,50,107
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,,,,,,21.03671217,15.18001149,1.831149498,,,,,2.310191172,,,,,32.76617801,26.87575765,,,,,,,,BCC,OTHER,BCC,7.7,C,1000,166,189,50,107
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,,,,,,19.86550192,14.33487063,1.729201006,,,,,,,,,,38.6909655,25.37946095,,,,,,,,BCC,OTHER,BCC,8.1,C,25,1965,2054,5,110
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,,,,,,19.86550192,14.33487063,1.729201006,,,,,,,,,,38.6909655,25.37946095,,,,,,,,BCC,OTHER,BCC,8.1,C,800,362,397,50,110
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,,,,,,19.86550192,14.33487063,1.729201006,,,,,,,,,,38.6909655,25.37946095,,,,,,,,BCC,OTHER,BCC,8.1,C,1000,236,247,50,110
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,,,,17.50196578,9.017357287,2.033186407,,,,,,,,,,34.08763379,17.18510458,20.17475215,,,,,,,BCC,OTHER,BCC,9.1,C,25,1841,2269,10,107
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,,,,17.50196578,9.017357287,2.033186407,,,,,,,,,,34.08763379,17.18510458,20.17475215,,,,,,,BCC,OTHER,BCC,9.1,C,800,796,834,50,107
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,,,,17.50196578,9.017357287,2.033186407,,,,,,,,,,34.08763379,17.18510458,20.17475215,,,,,,,BCC,OTHER,BCC,9.1,C,1000,298,455,50,107
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,,,,,,21.90565114,16.92087357,3.176178798,,,,,2.395047899,,,,,34.09318438,21.50906421,,,,,,,,BCC,OTHER,BCC,7.6,C,25,2035,2105,5,109
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,,,,,,21.90565114,16.92087357,3.176178798,,,,,2.395047899,,,,,34.09318438,21.50906421,,,,,,,,BCC,OTHER,BCC,7.6,C,800,796,851,50,109
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,,,,,,21.90565114,16.92087357,3.176178798,,,,,2.395047899,,,,,34.09318438,21.50906421,,,,,,,,BCC,OTHER,BCC,7.6,C,1000,220,225,50,109
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,,,,23.37681291,12.04419417,6.789154262,,12.0713689,,,,,,,,22.76487817,22.95359159,,,,,,,,BCC+B2,OTHER,other,7.1,C,25,2000,2368,10,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,,,,23.37681291,12.04419417,6.789154262,,12.0713689,,,,,,,,22.76487817,22.95359159,,,,,,,,BCC+B2,OTHER,other,7.1,C,800,1597,1810,11,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,,,,23.37681291,12.04419417,6.789154262,,12.0713689,,,,,,,,22.76487817,22.95359159,,,,,,,,BCC+B2,OTHER,other,7.1,C,1000,745,772,50,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,,,,23.37681291,12.04419417,6.789154262,,12.0713689,,,,,,,,22.76487817,22.95359159,,,,,,,,BCC+B2,OTHER,other,7.1,C,1200,250,,50,
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,,,,,,37.25131591,19.19261123,7.216021666,,,,,,,,,,24.15994145,12.18010975,,,,,,,,BCC,OTHER,BCC,6.8,C,25,1280,1367,4,105
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,,,,,,37.25131591,19.19261123,7.216021666,,,,,,,,,,24.15994145,12.18010975,,,,,,,,BCC,OTHER,BCC,6.8,C,800,728,1000,12,105
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,,,,,,37.25131591,19.19261123,7.216021666,,,,,,,,,,24.15994145,12.18010975,,,,,,,,BCC,OTHER,BCC,6.8,C,1000,403,415,50,105
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.49648258,7.984092862,1.350158524,,,,,,,,,,30.18166242,15.21592929,29.77167433,,,,,,,BCC,CAST,BCC,9.5,C,25,1188,,50,105
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.35824217,7.912868681,2.230190139,,,,,,,,,,29.91241904,15.08019163,29.50608835,,,,,,,BCC,CAST,BCC,9.3,C,25,1302,,46,104
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.1888718,7.825605738,3.308393476,,,,,,,,,,29.58254553,14.9138876,29.18069585,,,,,,,BCC,CAST,BCC,9.1,C,25,1415,2050,30,103
Al1 Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.02319632,7.740246468,4.363075401,,,,,,,,,,29.25986834,14.75121156,28.86240191,,,,,,,BCC+Sec.,CAST,other,8.9,C,25,1489,1900,21,
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,CAST,BCC,9.9,C,25,1073,,50,107
Al0.25 Mo1 Nb1 Ti1 V1,,,,,,31.55661907,16.25859132,2.291188663,,32.59054959,,,17.30305135,,,,,,,,,,,,,,BCC,CAST,BCC,7.1,C,25,1250,1500,13,161
Al0.5 Mo1 Nb1 Ti1 V1,,,,,,30.84979213,15.89442017,4.479738076,,31.86056396,,,16.91548566,,,,,,,,,,,,,,BCC,CAST,BCC,6.8,C,25,1625,1800,11,156
Al0.75 Mo1 Nb1 Ti1 V1,,,,,,30.1739355,15.54620552,6.572394094,,31.16256335,,,16.54490154,,,,,,,,,,,,,,BCC,CAST,BCC,6.6,C,25,1260,1300,8,151
Al1 Mo1 Nb1 Ti1 V1,,,,,,29.52705731,15.21292115,8.575324093,,30.49449065,,,16.1902068,,,,,,,,,,,,,,BCC,CAST,BCC,6.4,C,25,1375,1400,3,147
Mo1 Nb1 Ti1 V1,,,,,,32.296595,16.63984148,,,33.35477031,,,17.70879321,,,,,,,,,,,,,,BCC,CAST,BCC,7.3,C,25,1200,2050,26,167
Al0.25 Nb1 Ta1 Ti1 V1,,,,,,24.48706342,12.61621709,1.777899019,,,,,13.42668918,,,,,47.6921313,,,,,,,,,BCC,CAST,BCC,8.8,C,25,1330,,,130
Al0.5 Nb1 Ta1 Ti1 V1,,,,,,24.05931312,12.39583171,3.493683867,,,,,13.19214614,,,,,46.85902516,,,,,,,,,BCC,CAST,BCC,8.5,C,25,1014,,,127
Al1 Nb1 Ta1 Ti1 V1,,,,,,23.24713183,11.97737992,6.751491949,,,,,12.7468128,,,,,45.2771835,,,,,,,,,BCC,CAST,BCC,7.9,C,25,993,,,122
Nb1 Ta1 Ti1 V1,,,,,,24.93029896,12.84458076,,,,,,13.66972305,,,,,48.55539724,,,,,,,,,BCC,CAST,BCC,9.2,C,25,1092,,,134
Al1 Nb1 Ti1 V1,,,,,,42.48160697,21.88736014,12.3376178,,,,,23.29341509,,,,,,,,,,,,,,BCC,ANNEAL,BCC,5.5,C,25,1020,1318,,104
Al1 Nb1 Ti1 V1,,,,,,42.48160697,21.88736014,12.3376178,,,,,23.29341509,,,,,,,,,,,,,,BCC,ANNEAL,BCC,5.5,C,600,810,1050,,104
Al1 Nb1 Ti1 V1,,,,,,42.48160697,21.88736014,12.3376178,,,,,23.29341509,,,,,,,,,,,,,,BCC,ANNEAL,BCC,5.5,C,800,685,,,104
Al1 Nb1 Ti1 V1,,,,,,42.48160697,21.88736014,12.3376178,,,,,23.29341509,,,,,,,,,,,,,,BCC,ANNEAL,BCC,5.5,C,1000,158,,,104
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,12.30843524,,,,21.9926049,11.33102296,,,11.3565886,,,,,,,,21.41690457,21.59444373,,,,,,,,BCC+BCC+Sec.,OTHER,other,8,C,25,1595,2046,5,
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,12.30843524,,,,21.9926049,11.33102296,,,11.3565886,,,,,,,,21.41690457,21.59444373,,,,,,,,BCC+BCC+Sec.,OTHER,other,8,C,800,983,1100,5.5,
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,12.30843524,,,,21.9926049,11.33102296,,,11.3565886,,,,,,,,21.41690457,21.59444373,,,,,,,,BCC+BCC+Sec.,OTHER,other,8,C,1000,546,630,50,
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,12.30843524,,,,21.9926049,11.33102296,,,11.3565886,,,,,,,,21.41690457,21.59444373,,,,,,,,BCC+BCC+Sec.,OTHER,other,8,C,1200,170,190,50,
Cr1 Nb1 Ti1 V1 Zr1,,15.52420619,,,,27.73851643,14.29142968,,,,,,15.20951826,,,,,,27.23632944,,,,,,,,BCC+Sec.,OTHER,other,6.6,C,25,1298,,3,
Cr1 Nb1 Ti1 V1 Zr1,,15.52420619,,,,27.73851643,14.29142968,,,,,,15.20951826,,,,,,27.23632944,,,,,,,,BCC+Sec.,OTHER,other,6.6,C,600,1230,,10,
Cr1 Nb1 Ti1 V1 Zr1,,15.52420619,,,,27.73851643,14.29142968,,,,,,15.20951826,,,,,,27.23632944,,,,,,,,BCC+Sec.,OTHER,other,6.6,C,800,615,,50,
Cr1 Nb1 Ti1 V1 Zr1,,15.52420619,,,,27.73851643,14.29142968,,,,,,15.20951826,,,,,,27.23632944,,,,,,,,BCC+Sec.,OTHER,other,6.6,C,1000,259,,50,
Cr1 Nb1 Ti1 Zr1,,18.30890198,,,,32.71418662,16.8549929,,,,,,,,,,,,32.1219185,,,,,,,,BCC+Sec.,OTHER,other,6.6,C,25,1260,,6,
Cr1 Nb1 Ti1 Zr1,,18.30890198,,,,32.71418662,16.8549929,,,,,,,,,,,,32.1219185,,,,,,,,BCC+Sec.,OTHER,other,6.6,C,600,1035,,50,
Cr1 Nb1 Ti1 Zr1,,18.30890198,,,,32.71418662,16.8549929,,,,,,,,,,,,32.1219185,,,,,,,,BCC+Sec.,OTHER,other,6.6,C,800,300,,50,
